	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
263	R2:164			In this [Country of residence of Researcher] the cooperation with research institutes is stronger, there are more funding and resources.	{'enabling entrepreneurship depends on social and economics contexts'}	current situation	{'enabling entrepreneurship depends on social and economics contexts'}	{'entrepreneurship depends on socio-economic context'}	{'socio-economic context for entrepreneurship'}
263	R2:164			In this [Country of residence of Researcher] the cooperation with research institutes is stronger, there are more funding and resources.	{'enabling entrepreneurship depends on social and economics contexts'}	perception	{'enabling entrepreneurship depends on social and economics contexts'}	{'entrepreneurship depends on socio-economic context'}	{'socio-economic context for entrepreneurship'}
264	R2:165			As per public audiences… It might be useful to explain what research does, but as an engineer I see it could be helpful in translating it…  into..	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	uncertainty	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation', 'intermediate steps not assets'}	{'tensions between roles and purposes', 'limits of treating intermediate steps as assets'}
264	R2:165			As per public audiences… It might be useful to explain what research does, but as an engineer I see it could be helpful in translating it…  into..	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	disadvantages	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation', 'intermediate steps not assets'}	{'tensions between roles and purposes', 'limits of treating intermediate steps as assets'}
265	R2:166			a technology, more rapidly.	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	uncertainty	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation', 'intermediate steps not assets'}	{'tensions between roles and purposes', 'limits of treating intermediate steps as assets'}
265	R2:166			a technology, more rapidly.	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	disadvantages	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation', 'intermediate steps not assets'}	{'tensions between roles and purposes', 'limits of treating intermediate steps as assets'}
266	R2:170			Respondent - I don’t know, I think it is nice to educate about science, but cannot tell what kind of actions should be done.	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	uncertainty	{'tracing intermediate innovation steps hardly could be an in-kind assets', 'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation', 'intermediate steps not assets'}	{'tensions between roles and purposes', 'limits of treating intermediate steps as assets'}
267	R2:171			My interest in science is my job as a researcher.	{'personal purpose VS working motivation'}	perception	{'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation'}	{'tensions between roles and purposes'}
268	R2:173			or engaging about the work we do, like in social platforms but it is not an activity I would be interested in doing, personally.	{'tracing intermediate innovation steps for engaging in social platforms', 'communication (outreach)', 'personal purpose VS working motivation'}	uncertainty	{'tracing intermediate innovation steps for engaging in social platforms', 'communication (outreach)', 'personal purpose VS working motivation'}	{'outreach communication', 'tracing for social engagement', 'tension between personal purpose and work motivation'}	{'outreach and public engagement communication', 'outreach and dissemination', 'tensions between roles and purposes'}
268	R2:173			or engaging about the work we do, like in social platforms but it is not an activity I would be interested in doing, personally.	{'tracing intermediate innovation steps for engaging in social platforms', 'communication (outreach)', 'personal purpose VS working motivation'}	critics	{'tracing intermediate innovation steps for engaging in social platforms', 'communication (outreach)', 'personal purpose VS working motivation'}	{'outreach communication', 'tracing for social engagement', 'tension between personal purpose and work motivation'}	{'outreach and public engagement communication', 'outreach and dissemination', 'tensions between roles and purposes'}
